no,title,artform1,artforms (new additions) ,artform,duration,plot,rationale,keywords,keyword1,keyword2,keyword3,links,category
25,Alien Flowers (1996) | Sudarshan Chakraborty & Sapphire Creations,Ballet | English,,Contemporary Dance,40 minutes,"India's first queer ballet, choreographed by Sudarshan Chakraborty, Alien Flowers is a meditation on queer love. Staged first in Kolkata in 1996, it was centred around the story of a gay man navigating desire and prejudice. Narrated in English, it describes his journey from birth to death through the medium of poetry, dance and theatre. ","The play features a mix of dance, drama and poetry in conveying its message, and its trance-inducing English narration creates an alternate effect on its audience. The very introduction of an alien dance format like ballet is also interesting in subverting the spectator's gaze. In an intricate play of light and sound, both male and female forms of sexuality and desire are explored through individual and group performances. The form also intermixes both Western classical, and Indian classical forms of dance. Alien Flowers is a pathbreaking queer play that broke many traditions in the early 90s, and was one of the first Indian performances to sensitize people to queer issues. ","Alien Flowers, ballet, queer, Prejudice, Gay issues, theatre, poetry, English play, dance.",fusion,absurd,,ALIEN FLOWERS: Asia's First LGBT Dance Production 1996 | Sapphire Creations Dance Company - YouTube,Rewritings
26,Gentleman's Club AKA Tape (2022) | Amey Mehta,Theatre | English,,Theatre,80 minutes,"Set in the underground club scene of Mumbai, India's first drag king play, choreographed by Amey Mehta, explores drag in an Indian context. It follows lives of various drag 'kings' who perform in the city. Led by a main act called Rocky, who mimics Shammy Kapoor, this cabaret-like ensemble of female drag performers introduces stories - that intimately celebrate desire, satire and secrecy in the city. ","The play subverts masculine troupes through the performances of female 'drag' - in an imagined, inclusive city queer culture. The underground nature of the show adds a mystic element to a cocktail of music, dance and theatre. It is deeply experimental in nature - and uses Bollywood to add to what is essentially a glitzy setting of light, costume and stage design; there's a good use of dialogue that is both humorous and critical. Its queerness is also prominent in its adaptability: it is an act that can be adjusted to any venue. ","Gentleman's club, Drag king, Mumbai, Queer, Rocky, Bollywood. ",LGBTQIA+,fusion,,Gentleman's Club - Facebook,Body
27,Man-Woman (2023) | Gurleen Arora (Melancholia),Spoken Word Poetry | English,,Spoken Word,7-8 minutes,"Performed by Gurleen Arora aka Melancholia in Mumbai, for Kommune India, this spoken word poetry is a brief meditation on gender and identity - and explores the author's personal journey into her current transhood.  ","It is a performance that defies a strict form - playing around with poetry, songs and theatre. Through the harrowing 'man-woman' phrases that the speaker keeps repeating, it is a trance-like invitation to enter into the space of the performer. They employ a very lyrical way of talking about their trans-ness, meditating on identity and gender as they discuss their journey - even exploring their body through striptease to provoke the audience. Many 'spoken' word performances like these have come to dominate the queer performance space in India - and this fine performance has a certain ambiguity which qualifies it to be one. ","Spoken Word, Poetry, Kommune India, Gender, Trans, Theatre, Man Woman, Identity, Queer performance. ",identity,LGBTQIA+,Social Commentary,Man Woman | Gurleen Arora aka Melancholia | Spoken Word Poetry | Spoken Salon 1 - YouTube,Language
28,"Dil Dilli Dehleez (1 October, 2024) | Avatari Devi | Blackbox, Ashoka University",Spoken Word | Multlingual,,Nautanki,60 minutes (approx.),"Narrated by Avatari Devi (Swaja), this spoken-word Launda Naach form revolves around commentary about their queerness - and the city of Delhi and its various contradictions. It uses the various 'avatars' of Avatari devi to enchant the audience with an hour-long tale traversing various stories and disciplines.  ","This beautiful, intimate spoken play of words mixes various forms like striptease, song, Launda Naach, spoken word and poetry - to bring together Swaja's queer journey, and the journey of Delhi, in the same vein. Accompanied by electric guitar on the side, it is a deeply queer performance - reflective of thought behind CSGS's ADA series - and helps interact and question the audience quite a lot. They use multiple languages, employ a flirtatious tone, and intermix humor and politics well.","Avatari Devi, Swaja, Delhi, Spoken Word, Launda Naach, Dance, Poetry, Queer, CSGS, Ada. ",fusion,Humour,Regional,Dil Dilli Dehleez,Rewritings
29,Crossroads (2020) | Bettina Castano and Aditi Bhagawat,Dance | Multilingual,,Classical Dance,60-90 minutes,"Crossroads is a dynamic fusion of Flamenco and Kathak, created by Bettina Castano and Aditi Bhagawat, that explores the intersection of two rich, distinct dance traditions. The performance blends the fiery passion of Flamenco with the intricate rhythms and storytelling of Kathak, weaving together their unique movements, footwork, and expressions. Themes of cultural convergence, identity, and the shared human experience come alive - as the dancers traverse their personal and collective journeys. ","Accompanied by percussion, tabla and harmonium and sometimes jazz - this brilliant joint venture brings the intricacies of both dance forms alive. Given that flamenco, a gypsy tradition, itself emerged out of Kathak makes this venture more interesting - both have similar beat counts. The overall infusion of music, beats, movement and costume makes for an interesting queer performance that stretches the boundaries of space and time - allowing for an immersive experience. The blend of history and culture is beautiful.","Flamenco, Kathak, Crossroads, jazz, gypsy, culture, dance, aditi, bettina, rhythm, identity. ",fusion,Storytelling,Identity,Crossroads: An Indo - Spanish Dance Ensemble - YouTube,Rewritings
30,"Pehchan (2019) | Arvind Gaur & Asmita Theatre | Dyal Singh College, Delhi",Theatre | Hindi,,Theatre,20 minutes (approx.),"Pehchan is arguably India's first street play on queer matters. Directed by Arvind Gaur and performed by the progressive theatre group, Asmita Theatre, it explores the various taboos and forms of discrimation faced by the community - through various short 'takes' by different troupe members, it highlights various queer issues - like those of harrassment in the name of 'fun', police discrimination and forced marriages . The play has also been published in many theatre books.","The performance has extensively taken place across the university and protest spaces - acquiring a radical nature of its own, reflective of the theatre group's politics. Having the nature of a flashmob, the street play broke traditional boundaries of stage and spectatorship, allowing the audience to absorb the intense dialogues on offer. Compassing both individual and group performances, the form and argumentative content of Pehchan allows for an interesting queer experience in public. ","Pehchan, theatre, arvind gaur, asmita theatre, queer, taboo, jantar mantar, dyal singh college, public. ",resistance,Social Commentary,Interactive,(5) Asmita Theatre Group | Facebook,Language
31,Mukul & Pratik's dance duet (2020) | Choreography by Pratik Utekar | India's Best Dancer,Dance | Hindi,Dance as Political Discourse,Dance as Political Discourse,3-4 minutes (approx.),"Performed by two dancers in the 2020 edition of India's Best Dancer - this dance duet to the tunes of Tu Hi Re brought in contemporary dance to showcase the queer love between two boys - and how that is disrupted through one being forced into child marriage. It is a deeply emotional tale of longing, loss and emotion. The show is about dancers performing solo performances for the final 'big' prize of India's 'Best Dancer' - here, with Pratik being the choreographer-dancer, Muku was the contestant. ","While the theme actively deals with a queer angle, its infusion of contemporary dance with much different, exaggerated body movements makes for an interesting watch. The use of the cloth, the high acrobatics, and the musical and theatrical beginnings all make for an interesting queer performance. The moments when the dancers emotionally spill-over beyond the act - and the way they interact with the audience - remain key elements of the act. ","Mukul, pratik, india's best dancer, set india, queer, lgbtq, dance, tu hi re, child marriage.",desire,Social Commentary,Interactive,"Mukul और Pratik के "" तू ही रे"" Performance ने किया Judges को Emotional! | India's Best Dancer - YouTube",Body
32,"Wa*cking kya hai aap meri jaan lijiye (November 20, 2023) | Sangram Mukhopadhyay | Blackbox, Ashoka University",Wacking | English,Dance as Political Discourse,Dance as Political Discourse,60 minutes,"Performed by Sangram Mukhopadhyay, an emerging queer artist from Kolkata, this wacking performance explores the self, and its confusions with gender/identity. It explores the avenue of claiming open-ness in stretching the foundation of a form - and allies with queer refusal.","In essentially practicing wacking, a 1970s LA gay club style dance form, Sangram is mixing Indian classical mudras of arm and hand movement. There's a lot of play with light, space, shadow and movement, which offers flexibility to the performance. The auto-narrative style of dance and visuality infuses well with historical references to the dance form - while creating very commentary on dance as a form. ","Sangram, CSGS, Wacking, LA, Gay Club Dance, Dance, queer, gender, mudras, movement. ",fusion,Identity,LGBTQIA+,CS... - Centre for Studies in Gender and Sexuality - Ashoka University | Facebook,Body
33,Hijada,Marathi Play,,Theatre,Approx. 90 minutes,"Hijada is a Marathi play that centers around Kiran, a gender-nonbinary protagonist living in a Hijra household in Maharashtra. The play dives deep into the lives of Hijra community members, focusing on their daily struggles, solidarity, and resilience against societal marginalization. The plot unfolds in an unspecified locale, capturing the nuances of identity and belonging among the Hijra, who exist in the liminal space between accepted gender binaries.","The play captures the political and cultural misfitting of the Hijra community. In line with queer performance theory, the play disrupts heteronormative structures, presenting gender fluidity not as an object of ridicule, but as a site of rich, lived experience. By allowing the Hijra community to be humanized and de-exoticized on stage, the play counters the historical erasure of such identities in mainstream representations.","Performing arts, Hijra, gender nonbinary, family dynamics, marginalization, Maharashtra, queer identity, community representation",community,Resistance,LGBTQIA+,https://youtu.be/eaGm5YbnDS0?si=NXwfjCuVwZ2qmD1O    https://www.instagram.com/akankshabalrangabhoomi/?hl=en  https://www.facebook.com/aakanksharangabhoomi/?profile_tab_item_selected=mentions&_rdr  ,Space
34,Colour of Trans 2.0 ,Multilingual Documentary-style Play,,Theatre,Approx. 120 minutes,"This documentary-style play uses testimonial narratives to explore the personal journeys of transgender individuals—Living Smile Vidya, Gee Imaan Semmalar, and Angel Glady. Through frequent code-switching between Tamil, Malayalam, and English, Colour of Trans 2.0 captures the intersectionality of trans identities in different linguistic and cultural contexts. The play offers a blend of activism and art as the performers recount their experiences of identity, oppression, and community-building within and beyond India.","It serves as a key example of transgender self-representation and queer performativity, pushing beyond the traditional constraints of documentary theatre. By combining multiple languages and drawing on lived experiences, the play destabilizes the singular narrative of what it means to be transgender in India, challenging the politics of mainstream queer representation. The play queers not only the content but also the form of the testimonial, allowing space for multiplicity in both identity and language, aligning with the archive’s aim to disrupt fixed boundaries and offer a more fluid, diverse depiction of queerness.","Transgender, multilingual, self-representation, testimonial, Tamil, Malayalam, activism, resistance, Panmai Theatre",resistance,Identity,Community,https://youtu.be/CD9L5LbTdbI?si=M2_iFz0mY_v1Px93 https://youtu.be/Ev0vdJD-Xaw?si=NO2tEv9eepyB8Wji https://www.facebook.com/people/Panmai-Theatre/100066661912090/ ,Language
35,Still and Still Moving (2012),English experimental theatre,,Theatre,75 minutes,"This play weaves together poetry, movement, and dialogue to explore themes of stillness, migration, and fluid identities. It centers on a queer protagonist who reflects on their movement across different landscapes and relationships, capturing a sense of belonging that is elusive yet deeply desired.","The play’s non-linear, experimental form mirrors the fluidity of queer identities, presenting a meditative exploration of movement, stasis, and the queer experience. Its emphasis on sensory experience allows the audience to engage with the complexities of queer embodiment in subtle ways.","Indian theatre, Still and Still Moving, English, Play",identity,Interactive,Fusion,https://www.youtube.com/watch?v=4lQ-NB2VEqI https://www.instagram.com/tadpolerepertory/?hl=en ,Space
36,Begum Barwe (1979) by Satish Alekar,Marathi play,,Theatre,120 minutes,"Begum Barwe follows the story of a school teacher with a fascination for female characters from traditional Marathi plays, creating a fantasy world where he imagines himself in different gender roles. The play navigates the intersections of fantasy, desire, and queer identity in a conservative society, blending humor with deep psychological exploration. The protagonist's internal conflict reflects the repression of queerness in traditional, heteronormative Indian society.","This play critiques societal norms by challenging conventional gender roles and exploring the fluidity of identity. It reflects early representations of queerness in Marathi theatre, using the protagonist's escapism as a metaphor for the wider societal repression of non-normative desires. The play plays a vital role in shaping queer discourse by bringing queerness into a public conversation long before mainstream acceptance.","Performing arts, gender fluidity, fantasy, repression, queer identity, societal norms, Marathi theatre",social commentary,Identity,Desire,https://youtu.be/Q0MJMJ63jMo?si=alhcWp5vK5Bbnbu0   https://youtu.be/7lpoNuKhavs?si=GNYwUtnwDeaCBtij   https://m.facebook.com/profile.php?id=116511135063781 ,Body
37,Dance Like a Man (1989) by Mahesh Dattani,English play,,Theatre,120 minutes,"Dance Like a Man is about an elderly couple, Jairaj and Ratna, who are both classical dancers. Their past is steeped in personal sacrifices made for their careers, and the play traces the tensions between tradition, gender expectations, and personal ambitions. The story explores themes of masculinity and societal pressures faced by men pursuing non-conventional professions like classical dance, subtly addressing queer undertones through Jairaj's struggle with identity and self-expression.","The play explores the intersections of tradition, gender, and personal ambition within the framework of classical dance. It deserves a place in the archive for its nuanced exploration of masculinity in a traditionally gendered art form. It sheds light on societal pressures faced by men who defy conventional career norms. The play critically examines Jairaj’s struggle with identity and self-expression, presenting subtle queer undertones that question heteronormative expectations and gender binaries. The performance's emphasis on the body—as a site of discipline and rebellion—aligns with the archive's focus on live interaction and the queering of form and content. ","Performing arts, gender norms, classical dance, masculinity, societal expectations, Indian theatre, self-expression",social commentary,Identity,Resistance,https://www.youtube.com/watch?v=2lrjEk4RX5w https://www.facebook.com/p/Mahesh-Dattani-100063762771700/ ,Rewritings
38,On a Muggy Night in Mumbai (1998) by Mahesh Dattani,English play,,Theatre, 90 minutes,"This play revolves around a group of queer friends living in Mumbai and explores their relationships, heartbreaks, and struggles with self-acceptance in a heteronormative society. The central conflict arises when Kamlesh's sister, Kiran, discovers that her fiancé, Ed, is actually Kamlesh's former lover. The play depicts the emotional complexities of queer love in a city that alternates between liberation and repression.","As one of the first plays to openly address homosexuality in Indian theatre, On a Muggy Night in Mumbai is a milestone in queer representation. It challenges societal homophobia while giving visibility to urban queer lives. The play’s focus on intimate conversations between friends brings the audience closer to the lived realities of queer people in India.","Queer identity, homosexuality, relationships, urban life, friendship, societal repression, Indian theatre",LGBTQIA+,Social Commentary,Desire,On A Muggy Night In Mumbai   Mahesh Dattani   Director K S Rajendran  https://www.facebook.com/p/Mahesh-Dattani-100063762771700/ ,Space
39,Dushyantpriya (2013),Hindi play,,Theatre,100 minutes,"Dushyantpriya is a contemporary reimagining of the classical myth of Dushyanta and Shakuntala, with a queer twist. The play places Dushyanta in a modern setting where he grapples with his identity and attraction toward men, complicating the traditional narrative and challenging gender norms in Indian mythological storytelling.","By queering a well-known myth, the play destabilizes traditional heteronormative frameworks and allows for a critical re-examination of Indian cultural stories through a queer lens. It highlights the intersection of mythology and modernity, creating a space for queer reinterpretation of the past.","Mythology, queer reinterpretation, gender norms, identity, Indian theatre, classical myth",religion,Identity,Resistance,https://www.youtube.com/watch?v=wIGLb4d0Usg ,Rewritings
40,Loving Self,Odissi ,,Classical Dance,1:14 minutes (excerpt from a larger performance whose length is unknown),"Loving Self, created by Monami Nandy in 2015, is an exploration of self-love and queer identity expressed through Odissi dance. The performance addresses themes of gender fluidity and self-acceptance, posing critical questions such as ""What is a queer body? What is self? How do they connect?"" (Nandy, 2015) and exploring how these elements interconnect. By using the classical form of Odissi, traditionally associated with gendered roles, Nandy challenges these conventions, offering a queer reimagining of the dance. As described in the YouTube description, it is ""an exploration of love through different layers of dance and music"" (Nandy, 2015).                                                                                                                           References: Monami Nandy. (2015). Loving Self [Video description]. YouTube.","Monami's work highlights the intersection of classical dance and queer expression, emphasising the importance of personal narratives in artistic practice. This performance not only showcases her technical skill but also serves as a significant statement about the power of self-acceptance within the queer community​. ","Monami Nandy, Queer, Odissi, Performance",LGBTQIA+,Identity,Storytelling,loving self ,Rewritings
41,Strip Tease,Performance Art/Strip Tease/Drag,,Drag,8:49 minutes,"Patruni Chidananda Sastry's performance ""Strip Tease"" skillfully navigates themes of identity, consent, and the #MeToo movement, employing drag and performance art to challenge societal norms surrounding gender and sexuality. By using the act of stripping as a means of exploration, Sastry invites the audience to confront their perceptions, emphasizing vulnerability and empowerment​.","This performance serves as a powerful commentary on the intersection of queer identities and the stigma often associated with them. Sastry's work not only highlights the complexities of self-expression but also aims to foster dialogue about consent and autonomy, particularly within a cultural context that can be resistant to such discussions","Patruni Sastry, queer artist, performance ",LGBTQIA+,Social Commentary,Community,Strip Tease | Performance Art | #MeTOO |Patruni Chidananda Sastry,Body
42,Grey is also a Colour,Dance Theatre Performance,Dance Theatre,Dance Theatre,10:13 minutes,"Grey is also a Colour by Navtej Johar is a dance-theatre performance that navigates themes of aging, queerness, and the inner lives of marginalized figures. The piece follows two older queer men who find companionship, grappling with societal invisibility, emotional vulnerability, and the often quiet, complex dynamics within relationships. Through a blend of movement and spoken word, Johar brings forth the understated colors of queer experiences, exploring intimacy and resilience in a predominantly heteronormative world.","This piece is a valuable addition to the queer archive as it resists dominant narratives of youth-centric, flamboyant queer representation by addressing aging and companionship within queer contexts. Johar’s work queers traditional performance forms, incorporating fluid movement, multilingual dialogue, and non-linear storytelling that challenge boundaries of both genre and identity. It speaks to the archive’s goal of reflecting the diversity of queer experiences, acknowledging the intersections of age, culture, and intimacy in queer lives.","Navtej Singh Johar, Dance, Theatre, Queer",identity,Social Commentary,Desire,Grey is also a colour.mpg ,Rewritings
43,Frenemies,Dance Theatre Performance,Dance Theatre,Dance Theatre,1 hour,"In Frenemies, Navtej Johar and Lokesh Bharadwaj perform a duet that delves into the nuanced tensions between love and hate, exploring these emotions through an internalized movement style that contrasts with the rigid physicality typical of Bharatanatyam (Johar, 2015). The piece draws inspiration from the historical context of South Indian devadasis and North Indian tawaifs, marginalized courtesans who navigated lives filled with both sensuality and social exclusion. Loosely based on Jean Genet's The Maids, Frenemies weaves together intimacy and rivalry to reflect the struggles of these figures within a harsh material world. Johar describes the performance as embodying ""a lick, a bite, a jab, a sting, a sigh, and a song,"" combining these elements to depict a sensuous search for emptiness within the physical body (Johar, 2015).

Reference
Johar, N. (2015). Frenemies [YouTube video description].","Frenemies brings a critical representation of queerness that intersects with Indian cultural history, embodying the complex emotional terrains of intimacy, rivalry, and identity through dance. Johar’s approach offers a queer reimagining of the devadasi and tawaif traditions, queering classical dance by shifting focus from public displays of virtuosity to private, visceral tensions. This makes it an essential piece for the archive, representing queer experience beyond conventional depictions, and honoring how queerness redefines traditional narratives and bodily expression in South Asian contexts.","Navtej Singh Johar, Dance, Theatre, Queer",identity,Social Commentary,Caste,Frenemies,Rewritings
44,The Dancing Queens,Dance Performance,,Mixed Media,1 hour,"A performance by a transgender-led dance troupe, The Dancing Queens is a multimedia performance that intertwines dynamic dance and short films to explore transgender identities and experiences. The dancers express their personal journeys through fluid choreography, embodying stories of love, acceptance, and struggle, while interspersed films provide deeper context to their narratives. Each segment reflects a range of emotions, capturing the complexities of navigating life as transgender individuals. The performance culminates in a powerful finale, celebrating solidarity and joy, and advocating for the rights of all to live authentically.","The Dancing Queens is essential for the queer archive as it represents a pioneering effort to center transgender voices within the performing arts. Through their choreography and multimedia approach, the troupe challenges societal norms and advocates for LGBTQ+ rights, offering a vital perspective on identity, love, and acceptance. The performance's integration of film and dance allows for a rich, multi-layered exploration of queer experiences, making it a significant contribution to the archive’s mission of showcasing diverse narratives and fostering visibility for marginalized communities.","Dance, queer, group, transgender",LGBTQIA+,Community,Social Commentary,Dancing Queens - Performance Highlights,Body
45,An Evening of Lavani,Lavani Dance Performance,,Folk Dance,1 hour," An Evening of Lavani reimagines the traditional Marathi dance form, typically linked to eroticism and male audiences, by turning the male gaze on its head. The performance shifts focus to explore gender and sexual fluidity, challenging the conventional dynamics of power and desire. Through contemporary choreography, the dancers question societal roles and celebrate the performative nature of gender.  Though awaiting further translation for a fuller understanding of specific cultural nuances, the dance offers a rich ground for reflection on intersectional identities and historical gender norms in Maharashtra.","This performance challenges traditional gender norms within Lavani, offering a greater space for queer and gender-fluid expressions. By re-contextualizing Lavani, it deconstructs the male-dominated performance space, promoting more inclusive narratives. The performance reflects on Lavani's historical eroticism while exploring gender’s performative aspects and its intersections with sexuality. It contributes to broader conversations on caste, gender, and sexuality in contemporary India.","Lavani, dance, performance, gender bender",regional,Desire,Resistance,An evening of Lavani - Presented by Kali Billi Productions | Gender Bender 2018,Rewritings
46,Talki Truth Dream via Bengaluru ,Play - Theatre,,Theatre,Approx. 1 hour,"The play Talki - Truth Dream via Bengaluru (a part of the Truth Dream project) explores themes of identity, truth, and community in the context of queer experiences in urban India. Set in Bengaluru, it uses a mix of humor, pathos, and surreal elements to delve into the complex lives of LGBTQ+ individuals navigating societal expectations and their personal journeys. The play's non-linear structure and focus on ""dream-like"" narratives aim to blur boundaries between reality and illusion, reflecting the layered realities faced by queer communities.","The play speaks to the specificities of Indian queer life, contextualised by local traditions, humour, and the complexities of an evolving urban environment. The play's themes of truth, self-discovery, and resilience resonate with broader queer narratives while also highlighting the influence of local culture on personal identity formation. It is a valuable resource for audiences and researchers interested in the intersections of regional culture, queer identity, and performative art. The production reflects how queer individuals express their realities and aspirations, bridging the local with universal themes of self-affirmation and community.","Transpersons, Kannada, Bengaluru, Play, MAP",regional,Humour,Social Commentary,Talki Truth Dream via Bengaluru   Talki Truth Dream via Bengaluru  - News ,Space
47,Meeta ki Kahani,Play - Theatre,,Theatre,90 minutes,"This play delves into the emotional journey of Meeta, a young woman confronting her sexuality in a society steeped in traditional views. She is unsure of her feelings until she encounters Nama, another woman who helps her explore emotions that challenge societal norms. The play reflects on Meeta's internal battle, her journey of self-acceptance, and the societal pushback against non-conformist identities. It includes elements of dance and song, providing a Bollywood-inspired touch to illustrate Meeta’s inner transformation and realisations.","Through Meeta’s journey of self-discovery and acceptance, the play critiques the constraints imposed by patriarchal and traditional norms. It highlights the emotional and psychological struggles associated with same-sex love, making it a significant work that addresses stigmatisedd identities in a relatable, impactful way. Today, it remains relevant as it resonates with ongoing discussions about identity, societal pressure, and acceptance within the Indian cultural context.","Vijay Tendulkar, lesbian, queer theatre",LGBTQIA+,identity,social commentary,Meeta ki Kahani Meeta ki Kahani_1 ,Space
48,"Revelations: Celebrating LGBTQ Stories Through Bharatnatyam Dance', The Indian Raaga. Performed by Aarthy Sundar and Swathi Jaisankar",Bharatnatyam,,Classical Dance,"4 minutes, 45 seconds","The performance showcases a young woman being subjected to the conventions of femininity. Her mother puts jewellery on her and almost readies for womanhood. However, as the mother talks about her being paired with a man, she vulnerably comes out and reveals her love for a woman. The percussion in the music rises as melancholy takes over the mother-daughter relationship. Following a struggle for mutual understanding, the duet reunite when the mother accepts her for who she is and loves.  ","The Bharatnatyan form has a long history of heteronormative storytelling. The 'shikhar' mudra used to show a man and the 'kapita' mudra used to show a woman are always associated with one another. This performance breaks this convention. It follows the interaction between two generations to narrate a journey of becoming and queerness. The performance ends with acceptance and reconciliation, subverting the convention of queer performance which often ends in tragedy or social alienation. ","Classical, Queer",LGBTQIA+,resistance,community,https://youtu.be/zLCK1dmn2qc?si=lQ0di_KIrpDSLpV0,Rewritings
49,"Reflections: Celebrating LGBTQ Stories Through Bharatnatyam Dance', The Indian Raaga. Performed by Aarthy Sundar.",Bharatnatyam,,Classical Dance,"5 minutes, 8 seconds","This Bharatnatyam solo dance performance follows the bodily tussles of a transgender individual. The music begins and a female bodied performer dances in alignment with the conventions of 'feminine' dancing in Bharatnatyam and classical dance. There is a suddent blackout for a moment. Upon return, the performer is in a different male body. This phase of the performance enacts the dysmorphia experienced by this individual and their attempt at play with the body to seek belongingness in it. The end of the performance, there is a black out once again and the performer finds themself in their female body once again. ","The performance is melancholic due to the performer's limited and fleeting opportunities for expression. By using the blackout as transition, the performer is separating the extrinsic from the intrinsic and the gaze from the self. The enactment of shaving of facial hair, trying of jewelery and saree, etc are highly unconventional in the traditional abhinaya as seen in Bharatnatyam form. This performance, thus, queers the classical form as well. ","Classical, Queer",social commentary,resistance,desire,https://youtu.be/c1FqhFZ3EGI?si=aFJdxf8bVor3MCnV,Rewritings
50,"Queer', A Spoken Word by Anahita",Spoken Word Poetry,,Poetry,"2 mins, 37 seconds","Anahita is the Co-Founder & Director of QueerAbad, Ahmedabad's only Queer-Ally community space and online platform. In this performance, she narrates her experience with and of queerness in entanglement with her body. She talks about the assumptions society makes about her due to her corporality and identifies as someone who is queer 'in' a body and struggling to be a 'queer body'. ","The very form of spoken word is queer. It debunks poetry's obsession with rigid form and makes storytelling more accessible. It is fluid in its conception of poetry.  Anahita's writing and narration too is unique, queering language itself as she makes anaphoric use of the word 'straight' in lines like ""My queer self has been assumed straight (pause) Away to be the same"". With every verse, she accounts for the chaffing her queerness feels against a body she doesn't feel at home in. Legs, tongue, soul, heart, she articulates the gendered performativity and performance of body.",Queer Spoken Word,storytelling,LGBTQIA+,identity,https://youtu.be/qxp1UUlXajk?si=6XRl4BNQQeHw5ZJ4  ,Language
51,Machhu Tara Vehta Pani' - Bhavai,Bhavai ,,Theatre,"1 hour, 51 seconds
","Similar to the Ramleela productions in Northern India, 'Bhavai' is a form of community theatre and entertainment in rural Gujarat. This particular performance is an enactment of a popular Gujarati movie 'Machhu Tara Vehta Pani' which portrays the 1979 breakage of the Macchhu dam in Morbi. This performance portrays the disaster, its aftermath and connection to the spiritual goddess associated with that river through dramatic conversations, music and dance. ","As men dressed in chaniya-choli create humor at the expense of men dressed in all-black, donning long moustaches and paghdis, subversion of a more obvious kind takes place. It is interesting to view couples in this Bhavai imitate behaviors of conventionalised heteronormative married couples, almost reimagining marriage's mundanity as an institution welcoming queerness. However, it is the unconventional act of re-enacting a movie for audiences who wouldn't commonly have access to cinema is what makes the form of the performance as queer as the identities involved. Doubling down the performance’s amphibian nature, the occasion of performance itself has been organized in honour of a goddess (see the photo placed in the video). The word bhavai has been associated with many forms and themes now. ","Gujarati, folk, queer",community,collective memory,humour,https://youtu.be/6wMkfCSw2WA?si=aAMGOeht26domdrq ,Rewritings
52,Preet Ni Dori' - by Swara Oza ,G-Pop,,Music,3 minutes ,"

Swara Oza is a young singer from Gujarat who took to Instagram and YouTube to introduce a new form of music in the industry - GPop (Gujarati Pop music). This original song by her 'Prem Ni Dori' translates to the thread of love.  The song celebrates a love that transcends society's conventions. It is one that challenge heteronormativity in even the religious figures of Radha and Krishna that are popular in folk culture. ","The reason behind this being a part of the archive is its queer form and content. Who could've thought of G-Pop? Making use of Gujarati folk music's popular figures to present novel reimaginings such as ""If Krishna and Radha are like the sun and moon, look at us, we look nothing like that"", this song, whose title translates to 'The String of Love' is a performance queer in both, medium and content. The poetry of the song speaks in defense of a relationship that the society forbids, it dismisses the voyeuring social morality that passes judgement on them. As conveyed by the conversational expressions of the singer, the song is sung as though flirting with the lover. Simultaneously, it becomes our entry wound into the fascinating relationship Gujarati folk music has had with gender performance. Mega successful figures like Falguni Pathak don't perform the kind of hyper femininity most other popular cultures expect of their female artists. ","G-pop, Music, Fusion",regional,fusion,,https://youtu.be/tdrWSjez6fg?si=39lyGmZZYNrmUbds,Language
53,Disabled' - by Abhishek Anica,Spoken Word Poetry ,,Poetry,"5 minutes, 8 seconds ","Abhishek Anica is a queer writer and actor with disability. This performance was staged at the Performer's Consortium held for the Microsoft & Nipman Foundation Equal Opportunity Awards 2017 in Delhi.  In this performance, Anica uses spoken word and an expressive body language to talk about his experience with disability and the absurdity of society's perception of a 'cripple'.  ","The performer's work presents a unique intersectional perspective to performance. When a queer body is also disabled, how does the doubly marginalised body choose to perform? Hilariously parallelling 'inspiration' derived from articles to orgasms, Anica satirises a society that oscillates between pitying them for their disability and placing them on a pedestal for the same. Articulately, they quip, ""These eyes make me the star of an unknown showmanship""","Spoken Word, queer, disabled",identity,resistance,storytelling,https://youtu.be/RSfAm3V5pCY?si=eZ9yAEa7jSYTzdnm,Body
54,Confessions of an Asexual Romantic',Spoken Word Poetry,,Poetry,"6 minutes, 9 seconds","Sriti Jha, a well known television actress performs a spoken word describing her relationship with romance and sex as an asexual romantic. ","Firstly, the performer represents an industry which has viewed women most regressively for the longest time, the very idea of their identities transcending the family itself being unfathomable. Asexuality is often doubly marginalised in a discourse that sexualises the queer body in the name of visibility. In a society deeply conditioned about who, how and why to desire, the question of what kind of desire or why even desire falls from between the cracks. This poem queers the heteronormative definitions of sex and romance, making both subjective to identity or being, as the poet claims her right to romance simultaneous to the right to dissociate with conventional sexuality. ","Spoken word, queer",storytelling,identity,social commentary,https://youtu.be/cSjsVurx0k4?si=j5nIFAF2F9MzHRJN,Language
