region,Latitude,Longitude,scatterLat,scatterLong,count,name,location,type,active,contact,programs,keywords,keyword2,keyword3,id,color
Delhi,28.7040592,77.1024902,28.6040592,77.3024902,27,Partners for Law in Development,https://pldindia.org/,Resource Group,1998,admin@pldindia.org,"1. Capacity Development: information and skill development training for goverment and private institutions, organisations, collectives with a focus on feminist perspectives
    1.1. Convention on the elimination of All Forms of Discrimination Against Women (CEDAW) training program
    1.2. Violence Against Women and the Law with a focus on Gender Based Violence
    1.3. Developing Consent Culture: workshops for Community Organisations exploring issues of peer pressure, boundary setting, gender normative expectations, effective communications, consent, and rejection.
    1.4. Training workplaces on Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (PoSH)
2. Action Research: research studies, information on law, posters, videos and web archives of the women’s movements engagement with the law.
3. Advocacy and outreach programs with a focus to reform laws relating to sexual offences, decriminalisation of homosexuality, adultery, measures for restorative justice for victims of witch hunting, among others.
4. Resources: Feminist Law Archive, CEDAW South Asia, Advocating for Adolescent Concerns ",Women's rights,capacity building,research,58,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.3524902,28,Indian Association for Women's Studies,http://www.iaws.co.in/,Non-profit Organisation,1982,secretariat@iaws.org,"1. Research, documentation, and archival of women's issues and the women's movement in India
2. National Conferences on issues like Women’s Studies, Women in a Changing World, Restructured inequalities, countercurrents and sites of resistance. 
3. Advocacy, campaigns, and programs to strenghten the movement for women's equality and rights",Education,Women's rights,advocacy,59,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.4024902,29,Voices Against 377,http://www.voicesagainst377.org/,Collective,2001,voicesagainst377-subscribe@yahoogroups.com,"1. Million Voices Campaign (2004): Campaign against section 377 of the Indian Penal Code and documentation of voices against Section 377
2. Dialogue and Debate: 
    2.1. Gender and Sexuality in India: Recognizing Connections, Building Politics, AMAN Trust, New Delhi. (2005)
    2.2. Criminalization of Sodomy and Human Rights Violations in India, Naripokkho, Dhaka, Bangladesh. (2005)
    2.3. Criminalization of Sodomy and Human Rights Violations in India, Women’s Development Cell, Lady Shri Ram College, University of Delhi, New Delhi. (2005)
    2.4. Criminalization of Sodomy and Human Rights Violations in India, Workshop for Beyond Borders, British Council Division, New Delhi. (2006)
    2.5. Lesbian and Gay Human Rights in India: International and Comparative Perspectives, Causarina Hall, India Habitat Centre, New Delhi. (2006)
3. Community meetings, public demonstrations, action research, and publications on gender-sexuality rights and against section 377. ",Research,advocacy,LGBTQ rights,60,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,76.9524902,30,Nazariya LGBT,https://nazariyalgbt.wordpress.com/,Community Organisation,2017,Nazariyalgbt@gmail.com,"1. Advocacy for the rights of queer people
2. Workshops and campaigns with a focus on gender and sexuality sensitisation in college campuses
3. Collaborations with educational institutes, organisations, and individuals on issues related to gender and sexuality
4. Digital archival of resources on casteism, racism, understanding reservation, disability and queerness, queer feminism, etc ",LGBTQ rights,advocacy,digital archive,61,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.0024902,31,Azad Foundation,http://azadfoundation.com/,NGO,2008,support@azadfoundation.com,"1. Women with Wheels Program: Capacity building and development training to empower resource-poor women to become professional drivers
2. Community Engagement Programs: 
   2.1. Men for Gender Justice: Awareness campaign addressing Gender Based Violence through training sessions involving theatre, sports, film screenings, informal discussions, etc. 
   2.2. Parwaz Feminist Leadership Program: capacity building program for young women on women's rights and empowerment
   2.3. Azad Kishori 9 to 12: awareness program and workshops on gender, patriarchy, legal rights for women, sexuality and reproductive health
3. Research and advocacy for women's rights and gender justice",Capacity Building,Women's rights,advocacy,62,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.0524902,32,SAMA: Resource Group for Women and Health,https://samawomenshealth.in/,NGO,1999,sama.genderhealth@gmail.com,"1. Advocacy and campaigns for Public Health, Right to Health, and Healthcare
2. Research , workshops, and conferences on Medical and Reproductive Technologies including Commercial Surrogacy from a gender and rights perspective
3. Awareness campaigns, collaborations and activism against Gender Based Violence (GBV)
4. Advocacy and training on Sexual and Reproductive Health and Rights (SRHR)
5. Research, advocacy, and seminars on Ethics in Clinical Trials, Access to Medicines, with a focus on bioethics
6. Research, awareness campaigns, and seminars on Young Women and Mental Health with a focus on early marriages and its effects on young women
7. Research, advocacy, and awareness programs against the coersive population policies like the Two Child Norm and forced sterilisation that invariably targets women, particularly those who are poor and underprivileged. 
8. Archive of resource meterials on Assisted Reproductive Technologies and Bioethics",Sexual and Reproductive Health,Research,advocacy,63,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.1024902,33,"Dhanak: A Queer Group, Jawaharlal Nehru University",https://www.facebook.com/dhanak.jnu/,Community Organisation,2012,dhanakaqueergroup@gmail.com,Advocacy and campaigns for queer rights,LGBTQ rights,Advocacy,,64,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.1524902,34,Nigah: Queering Perspectives,http://nigahdelhi.blogspot.com/,Community Organisation,2003,contact@nigah.org,"1. Advocacy and campaigns for queer rights
2. Open mics, discussions, and other events to create safe and inclusive queer spaces ",Advocacy,LGBTQ rights,,65,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.2024902,35,PRISM (People for the Rights of Indian Sexuality Minorities) / Thursday Forum,,Collective,2001,,"1. Advocacy and campaigns against human rights violation
2. Public meetings, workshops, trainings, and research on gender, sexuality, and law",Advocacy,Research,,66,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.2524902,36,Saheli: Women's Resource Centre,https://sites.google.com/site/saheliorgsite/,Non-profit Organisation,1981,saheliwomen@gmail.com,"1. Advocacy, research, campaigns, conferences, and other programs on women's rights, Gender Based Violence, health rights, legal awareness, women's empowerment, and gender justice.
2. Resource archive of the women's movement in India",Advocacy,Women's rights,,67,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.3024902,37,Queer Campus,http://queercampus.blogspot.com/,Community Organisation,2010,qcampus.india@gmail.com,"1. Advocacy, campaigns, and programs for queer rights
2. Public meetings, film screenings, book reading sessions, and other events on the themes of queerness",Advocacy,LGBTQ rights,,68,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.3524902,38,"AUD Queer Collective, Ambedkar University",https://www.facebook.com/AUDQC/,Community Organisation,,audqueercollective@gmail.com,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,69,#79A5AE
Delhi,28.7040592,77.1024902,28.6540592,77.4024902,39,"Miranda House Queer Collective, University of Delhi",https://mirandahouseqc.wordpress.com/,Community Organisation,2017,qc.mirandahouse@gmail.com,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,70,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,76.9524902,40,"Jamia Queer Collective, Jamia Milia Islamia",https://jamiaqueercollective.wordpress.com/,Community Organisation,,jmi.queercollect@gmail.com,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,71,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.0024902,41,"Indradhanu: LGBTQ Collective, IIT Delhi",https://www.facebook.com/indradhanu.iit/,Community Organisation,2017,indradhanu.iitdelhi@gmail.com,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,72,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.0524902,42,All India Women's Conference,http://www.aiwc.org.in/,NGO,1927,info@aiwc.org.in,"1. Capacity building, vocational training, and skill development trainings with a focus on Literacy, Education, and Economic Empowerment for women and children from resource-poor communities
2. Health camps and awareness programs on Health, Family Welfare and Population
3. Gender sensitisation programs, awareness programs on Violence Against Women and women's legal rights
4. Awareness campaigns on Cilmate change and advocacy for Sustainable Development through renewable energy, rural sanitation, water and waste management, disaster management, and communal harmony
5. Welfare Institutional Services like Short Stay Home for women in distress, Old Age Home, Home for Single Working Women, Day care centre for street children, and family councelling centres
6. Special Study Centres of IGNOU for courses such as BCA, MCA, CIT and MSW for which classes are held on weekends.",Research,gender sensitisation,,73,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.1024902,43,Mahila Dakshata Samiti,http://www.mdsnational.org/,NGO,1977,mahiladakshatasamiti@gmail.com,"1. Family Counselling Centres and Legal aid for survivors of Violence Against Women
2. Seminars, workshops, meetings, and camps on issues related to women, children, senior citizens, health, environment, the Budget, 33% Reservation for Women, consumer issues, violence against women, and girl-child. 
3. Awareness campaigns against the use of drugs, tobacco, alcohol etc. and programs on Health, Hygiene, and Environment
4. Swadhar Greha (Snehalay): Short Stay Home for Women in Distress
5. Bal Shiksha Kendras: Counselling services to women, programs to ensure education and nutrition for underprivileged children, awareness campaigns of women's legal rights",Women's rights,Legal aid,advocacy,74,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.1524902,44,Transmen Collective: Lives of Transmen in India,https://transmencollective.wordpress.com/,Community Organisation,2017,transmencollective@gmail.com,"1. Advocacy and campaigns for the rights of Transmen
2. Legal workshops and discussions for transmen on issues like masculinity, sexual life, romantic life, anxiety, depression and gender dysphoria etc.
3. Online support group with a focus on mental health wellbeing",LGBTQ rights,support services,advocacy,75,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.2024902,45,Harmless Hugs,https://www.facebook.com/harmlesshugs/,Community Organisation,2015,harmlesshugs.india@gmail.com,"1. LGBT flashmob in Delhi
2. Tarang: Delhi International Queer Theater and Film Festival
3. Festival celebrations and other meetups",Advocacy,LGBTQ rights,,76,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.2524902,46,All India Network of Sex Workers,https://www.nswp.org/featured/all-india-network-sex-workers-ainsw,Collective,1998,ainsw.india@gmail.com,"1. Advocacy, support, and campaigns for sex workers and their rights with a focus on decriminalising and destigmatising sex work and sex work environment, universal access to health care, social inclusion of sex workers, adressing Gender Based Violence, especially violence and discrimination against sex workers
2. Capacity building trainings ",Capacity building,Sex workers,advocacy,77,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.3024902,47,Aarambh Foundation,https://www.facebook.com/Aarambh-Foundation-India-Trust-156729291683453,NGO,2016,,Medical and legal assistance to Transgender women and Bisexual men,Legal aid,support services,,78,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.3524902,48,Mitr Trust,https://www.facebook.com/Mitrtrustdelhi/,NGO,,mitrcbodelhi@gmail.com,"HIV prevention programs through Targeted Intervention for Men having sex Men (MSM), Transgenders (TG) and Hijra population in West Delhi.",HIV/AIDS prevention,LGBTQ rights,,79,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.4024902,49,BI-Collective Delhi,https://bicollectivedelhi.wordpress.com/,Community Organisation,,bicollectivedelhi@gmail.com,"1. Resource and support group for Bisexual, Bi [plus], and Bi-curious, pansexual, and panromantic persons
2. Workshops, meet-ups, and discussions
3. Library of resource materials on Bisexual politics and narratives",Support group,capacity building,,80,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,76.9524902,50,Keshav Suri Foundation,https://keshavsuri.foundation/,Non-profit Organisation,2018,info@keshavsuri.foundation,"1. Advocacy and campaigns for the rights of LGBTQIA [plus] people
2. Sensitisation programs in educational institutes and corporations
3. Queering the Pitch: events on social upliftment and queer empowerment
4. Queer Youth Leadership Course (2020): Four day sessions on emotional, mental, physical, social and political well being of Queer Young Adults. 
5. KSF scholarship for 5 deserving LGBTQ+ and gender non confirming students for a 1.5 years Diploma in Food Production/Bakery at The Lalit Suri Hospitality School, Faridabad.",LGBTQ rights,advocacy,gender sensitisation,81,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.0024902,51,Deepa Ardnareshwar Empowerment Foundation,https://www.facebook.com/Deepaardnareshwar/,Non-profit Organisation,,daef.reenarai18@gmail.com,"Gender sensitisation, Advocacy and campaigns for trans empowerment",Advocacy,LGBTQ rights,gender sensitisation,82,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.0524902,52,Impulse New Delhi,https://www.facebook.com/ImpulseNewDelhi/,Community Organisation,2014,info.impulsenewdelhi@impulsegrp.org,"Awareness programs on sexual health, especially HIV/AIDS within the MSM,TG and Hijra (MTH) community",Sexual and reproductive health,HIV/AIDS prevention,,83,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.1024902,53,All India Queer Association,https://allindiaqueerassociation.com/,Community Organisation,2019,aiqalgbt@gmail.com,"1. Advocacy for the rights of the queer community with a queer-marxist political sensibility
2. Conferences, workshops, and cultural events (singing, stand-up acts, poetry performance, etc) with a focus on issues like queer empowerment, mental health, and healthcare for trans individuals. ",Advocacy,LGBTQ rights,mental health,84,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.1524902,54,Centre For Health and Social Justice,https://chsj.org/,Community Organisation,2005,chsj@chsj.or,"1. Advocacy and campaigns with a focus on social justice in the fields of health, Human Development, Gender Equality and Human rights.
2. Project MITRA (Mens Initiative to Transform Relationship through Action) focuses on the role played by men and boys in the discourse of gender equality",Advocacy,LGBTQ rights,,85,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.2024902,55,Karma Care: Centre for Councelling and Wellbeing,https://www.karmacare.in/,Service Provider,2016,admin@karmacare.in,"1. Queer affirmative councelling services and therapy
2. Workshops for aspiring professionals
3. Projects with a focus on mental health, queerness, and the workplace",Mental health,LGBTQ rights,support services,86,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.2524902,56,Indian Aces,http://www.indianaces.org/,Non-profit Organisation,2014,contact@indianaces.org,"1. LGBTQIA [plus plus] Crash Course: Seminars and workshops on the foundational concepts of gender and sexuality, format is largely game and activity based
2. Sexuality and Asexuality 101 workshop
3. Platonicity: A meet-up for people seeking non-sexual or non-romantic partnerships
4. Offers group and/or individual counselling services on issues of gender and sexuality nuances
5. Humans of Queer: A pride month project founded in 2021",Education,LGBTQ rights,support services,87,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.3024902,57,Breakthrough India,https://inbreakthrough.org/,Non-profit Organisation,2000,info@breakthrough.tv,"1. Adolescent Empowerment through workshops on women's rights, skill development training, capacity building leadership training, and gender, sexuality, and caste sensitisation programs
2. Partnerships with goverment schools in Punjab to adopt gender sensitisation curriculum to address and prevent Gender Based Violence and discrimination
3. Youth Empowerment through:
    3.1. online/digital engagement through campaigns with a focus on Women's Safety
    3.2. Month long internship and training with a focus on skill development and women's empowerment
    3.3. Community youth programs and college youth engagement through gender sensitisation, aware campaigns against Gender Based Violence, and Sexual Harassment
4. StreetLink Program: Sensitisation programs addressing Violence Against Women in the workforce",Women's rights,Capacity Building,,88,#79A5AE
Delhi,28.7040592,77.1024902,28.7540592,77.3524902,58,"DU Queer Collective, University of Delhi",https://duqueercollective.wordpress.com/,Community Organisation,2014,duqueercollective@gmail.com,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,89,#79A5AE
Goa,15.2993265,74.123996,15.2993265,74.123996,0,Video Volunteers,https://www.videovolunteers.org/,NGO,2003,info@videovolunteers.org,"Indiaunheard: Empowering marginalized citizens to use journalism as a tool to voice their interests to authority and demand intervention whenever necessary, They work in the field of caste, Forced evictions, Covid Relief, Reproductive rights etc. ",Advocacy,Gender Sensitisation,Capacity Building,90,#79A5AE
Goa,15.2993265,74.123996,15.0993265,74.023996,1,Goa Rainbow Trust,https://www.facebook.com/grtgoa/,Collective,NA,goarainbowtrust@gmail.com,1. Sensitisation sessions for LGBTQIA+ inclusion 2. Counselling and legal assistance 3. Campaigns and advocacy,LGBTQ Rights,Advocacy,,91,#79A5AE
Gujarat,22.258652,71.1923805,22.258652,71.1923805,0,SWATI: Society for Women’s Action and Training Initiative,https://www.swati.org.in/,NGO,1994,swati.org@gmail.com,"1. Mahila Nyay Panchayat: provides services of mediation, counselling, and support to women facing violence.
2. Swa-Bhoomi Kendra: awareness campaigns and services for women's rights and land rights.
3. Nidhi: Saving and credit program for women
4. Parivartan Panchhi: Sensitising adolescent men and women on sexual and reproductive health rights
5. Khushali: Awareness campaigns Women Against Violence
6. Mahila Adhikar Sahayata Kendra: Women's rights help centre",Support Services,Women's rights,,92,#79A5AE
Gujarat,22.258652,71.1923805,22.058652,71.0923805,1,Anandi ,https://anandi-india.org/about-us/#mission-vision,NGO,1995,info@anandi-india.org,"Field level intervention, Women's Leadership Building, Campaigns and Networking and Feminist Research and Advocacy. ",Advocacy,Capacity Building,Women's Rights,93,#79A5AE
Gujarat,22.258652,71.1923805,22.058652,71.1423805,2,Lakshay Trust,http://www.lakshya-trust.org/who-we-are/about-lakshya,NGO,2000,lakshyatrustrajkot@yahoo.com,"HIV Aids Outreach Program, Distribution of IF, Condom Promotion, STI Care Health Camps, Counselling , Needs Assessment study",Advocacy,HIV/AIDS Prevention,Support Services,94,#79A5AE
Gujarat,22.258652,71.1923805,22.058652,71.1923805,3,Self Employed Women's Association(SEWA),https://www.sewa.org/,Community Organisation,1972,mail@sewa.org,"Sewa Bank, Health care, Child Care, Insurance, Legal Services, Capacity Building, Housing, Video Sewa, Research Training, SEWA Co-operative federation. ",Self Help Groups,Support Services,Capacity Building,95,#79A5AE
Gujarat,22.258652,71.1923805,22.058652,71.2423805,4,Vikalp Women’s Group,https://vikalpwomensgroup.wordpress.com/,NGO,1996,vikalpwomensgroup@gmail.com,"Violence against women and access to justice- Women's Court, Sexuality- Crisis Intervention and shelter, Initiating meets with family, Exposure visits. Economic- Sakhi Sangathan groups, Micro Finance literacy.",Sexual Abuse Prevention,Support Services,Self Help Groups,96,#79A5AE
Gujarat,22.258652,71.1923805,22.058652,71.2923805,5,"Women's Studies Centre, Sardar Patel University",https://www.spuvvn.edu/academics/academic-centres/womens-study-centre/,Academic/ Research centre,2005,,"Education and research around issues faced by women, capacity building initiatives for women",Education,Research,,97,#79A5AE
Gujarat,22.258652,71.1923805,22.058652,71.3423805,6,National Network of Sex Workers,http://nnswindia.org/,Collective,1997,nationalnetworkofsexworkers@gmail.com,"1. Advocacy for the local, regional, national, and international rights of sex workers
2. Documentation and research on issues concerning sex workers such as violence, discrimination, and social oppression
3. Awareness campaigns and other programs addressing misconceptions, stigma, and discrimination that marginalises sex workers",Sex workers,Advocacy,,98,#79A5AE
Haryana,29.0587757,76.085601,29.0587757,76.085601,0,"Women's Studies Research Centre, Kurukshetra University",https://www.kuk.ac.in/information.php?m=Yg==&L01_id=MTE=&L01_direction=H&L02_id=ODQ=,Academic/ Research centre,1989,chairperson.wsc@kuk.ac.in,"1. Master of Arts in Women's Studies
2. Post-graduate Diploma course in Women's Studies
3. Gender equity awareness programs
4. Seminars and conferences with a focus on gender sensitisation., sustainable development, and legal rights",Education,gender sensitisation,,99,#79A5AE
Haryana,29.0587757,76.085601,28.8587757,75.985601,1,"Women's Studies Centre, Maharshi Dayanand University",https://mdu.ac.in/defaultMatter.aspx?PageId=292,Academic/ Research centre,2010,womenstudies.mdu@gmail.com,"1. Workshops and seminars with a focus on women's empowerment and development, gender based violence, gender inequality, and women's rights.
2. Community outreach programs with a focus on women, health, and legal issues
3. Research projects on customary traditions, social change, and the marriage institution. 
4. Gender sensitisation programs",Education,Gender sensitisation,Research,100,#79A5AE
Haryana,29.0587757,76.085601,28.8587757,76.035601,2,"Centre For Women, Law, And Social Change, O. P. Jindal Global University",https://jgu.edu.in/jgls/women-law-and-social-change/,Academic/ Research centre,,sshc.jgu@gmail.com,"1. Bachelor of Arts in Gender Studies, 2022
2. Research projects on Gender Based Violence in Haryana
3. Centre staff teach courses with a focus on Feminist Jurisprudence, Gender Law and Governance, Human Rights of Women, and Family Law.",Education,Research,,101,#79A5AE
Haryana,29.0587757,76.085601,28.8587757,76.085601,3,"Centre for Studies in Gender and Sexuality, Ashoka University",http://csgs.ashoka.edu.in/,Academic/ Research centre,2015,csgs@ashoka.edu.in,"1. ISHQ: Issues in Society, History, and Queerness, a monthly speaker series
2. ADA: Art, Desire, Activism, arts series that encourages conversations on sexuality, desire, and gender expression
3. TAP: Theory and Practice: Transnational conversations on gender and sexuality
4. Summer of ISHQ: Webinar series on Issues of Society, History, and Queerness
5. Candid: A Queer Feminist Baithak: a public platform for open ended discussions on questions of gender and sexuality, culture and politics.
6. Reading Group on issues concerning gender, sexuality, identity and activism.
7. CSGS Specials: Film screanings, performance art, and other campaigns on issues of gender and sexuality. 8. Workshops on gender and sexuality",Research,advocacy,capacity building,102,#79A5AE
Haryana,29.0587757,76.085601,28.8587757,76.135601,4,"The Feminist Collective, Ashoka University",https://thefeministcollectiveashokau.wordpress.com/,Community Organisation,2018,feministcollective@ashoka.edu.in,Advocacy and campaigns for gender eqality,Advocacy,LGBTQ rights,,103,#79A5AE
Himachal Pradesh,31.1048294,77.1733901,31.1048294,77.1733901,0,"Centre for Women's Studies and Development, Himachal Pradesh University",https://hpuniv.ac.in/university-detail/home.php?women-studies-and-development,Academic/ Research centre,2001,cwsdhpus@gmail.com,"1. Workshops and programs with a focus on women, development, and health.
2. Capacity building programs for women in management
3. Seminars on gender based violence, child sexual abuse, and human rights
4. Gender sensitisation campaigns, consumer awareness programs, and self-defence trainings
5. Implemented Gender Champions Scheme under the Ministry of Women and Child Developement",Education,capacity building,gender sensitisation,104,#79A5AE
Himachal Pradesh,31.1048294,77.1733901,30.9048294,77.0733901,1,Sajhe Sapne,https://sajhesapne.org/about,Non-profit Organisation,2020,soochna@sajhesapne.org,"1. Sapna Centres: Offers Skill Development training, guaranteed placements, and on the job training to young women in rural areas
   1.1. Management and Rural Development Professional course
   1.2. Mathematics Educators Professional course
2. Sapnewali: Podcast and a radio show on life and leadership lessons from women achievers in villages for women empowerment.",Women's rights,capacity building,advocacy,105,#79A5AE
Himachal Pradesh,31.1048294,77.1733901,30.9048294,77.1233901,2,Himachal Queer Collective,https://www.instagram.com/himachalqueercollective/,Community Organisation,2020,himachalqueercollective@gmail.com,LGBTQIA [plus] resource centre,Advocacy,LGBTQ rights,,106,#79A5AE
Himachal Pradesh,31.1048294,77.1733901,30.9048294,77.1733901,3,Sambaavnaa Institute of Public Policy and Politics,https://www.sambhaavnaa.org/,Academic/ Research centre,2004,info@sambhaavnaa.org,"1. Workshops on social issues for activsts, educators, and social work practitioners.
   1.1. Theatre of The Oppressed
   1.2. Beyond the Binary of Gender: Transfeminist perspectives from India
   1.3. Ethnographic Research Methods for Activists",Education,Research,,107,#79A5AE
J&K,33.277839,75.3412179,33.277839,75.3412179,0,Association of Parents of Disappeared Persons (APDP),https://apdpkashmir.com/,Community Organisation,1994,apdp.kashmir@yahoo.com,"1. Awareness campaigns against enforced disappearances and enforced silence
2. Documention of enforced disappearances in Kashmir since 1989
3. Legal aid and support to parents and family members of persons subjected to enforced diasappearances. ",Legal aid,support services,,108,#79A5AE
J&K,33.277839,75.3412179,33.077839,75.2412179,1,Jammu and Kashmir Coalition of Civil Society,https://jkccs.info,Community Organisation,2000,,"1. Documentation of violence including killings, torture, sexual violence, enforced disappearances, internet bans in Kashmir 2. Legal aid to victims' families 3. Awareness and advocacy",Research,Capacity building,legal aid,109,#79A5AE
J&K,33.277839,75.3412179,33.077839,75.2912179,2,Kashmir Women's Collective,https://www.facebook.com/kashmirwomenscollective/,NGO,,kashmirwomenscollective@gmail.com,"1. Gatherings to discuss women's safety and empowerment inside and outside of the home space.
2. Support system for women facing violence, discrimination, and oppression
3. Conversation and Climb: Gathering for trips and discussions on women's mobility, choice, and recreation.",Capacity building,support services,,110,#79A5AE
J&K,33.277839,75.3412179,33.077839,75.3412179,3,"Mehram: Women’s Cell, Kashmir",facebook.com/MehramKashmir/,NGO,2018,mehramkashmir@gmail.com,"Services on upliftment, assistance and redressal of Kashmiri women against sexual and gender based violence.",Legal aid,support services,sexual abuse prevention,111,#79A5AE
J&K,33.277839,75.3412179,33.077839,75.3912179,4,"Centre for Women's Studies, University of Jammu",https://www.jammuuniversity.ac.in/cws/introduction,Academic/ Research centre,2005,0191 2435248 Ext. 2882,"1. Three months certificate course on gender issues, since 2006
2. Three months certificate course on women and law, since 2012
3. Gender sensitisation workshops and seminars with a focus on gender equality and women's empowerment
4.  Skill development training programs as part of capacty building
5. Fiedldwork with comunity women, self-help groups and other organisations on issues like nutrition, health, and women's development  ",Education,capacity building,gender sensitisation,112,#79A5AE
J&K,33.277839,75.3412179,33.077839,75.4412179,5,"Centre for Women's Studies and Research, University of Kashmir",http://wsc.uok.edu.in/Main/Default.aspx,Academic/ Research centre,2006,coordinatorcwsrku@gmail.com,"1. Master of Arts in Gender Studies 
2. Certificate course in Women and Law
3. Choice Based Credit System (CBCS) papers offered to University students:
    3.1. Women and Society in Kashmir 
    3.2. Women and Society in India
4. Refresher courses in Women's studies for University staff
5. Gender sensitisation and women's development programs
6. Seminars with a focus on women, health, gender based violence, and human rights
7. Implemented Gender Champions Scheme under the Ministry of Women and Child Developement",Education,Gender sensitisation,Research,113,#79A5AE
J&K,33.277839,75.3412179,33.077839,75.4912179,6,Sonzal Welfare Trust,https://www.facebook.com/sonzalwelfare/,NGO,2017,sonzalwelfare@gmail.com,"1. Inclusive Sexual Health Clinic: Medical aid to gender and sexuality minority community in Jammu and Kashmir
2. Legal aid and organisational support to survivors of Gender Based Violence
3. Capacity buidling and skill development training for social empowerment
4. Advocacy and campaigns for gender equality
5. Documentation of gender and sexuality minority narratives
6. Aims to build Self Help Groups for the transgender community",Legal aid,support services,capacity building,114,#79A5AE
Jharkhand,23.6101808,85.2799354,23.6101808,85.2799354,0,LGBTQ Jamshedpur,https://www.instagram.com/jamshedpurpride/,Community Organisation,,,"1. Queer rights advocacy and support group
2. Community building",Advocacy,LGBTQ rights,,115,#79A5AE
Karnataka,15.3172775,75.7138884,15.3172775,75.7138884,0,ALF (Alternative Law forum ),http://altlawforum.org/about/,Academic/ Research Centre,2000,contact@altlawforum.org,"Advocacy and research in the field of law. Focus on Gender, sexuality, Media, Culture, Informal labour etc",Advocacy,Research,Legal Aid,116,#79A5AE
Karnataka,15.3172775,75.7138884,15.1172775,75.6138884,1,Ahalyabai Post Graduate Centre for Women's Studies Research and Extension,http://ka.kswu.ac.in/womenstudies,Academic/ Research Centre,NA,dr.laxmi@yahoomail.com,"MA, Mphil and PhD in Women's Studies. Certificate Course in Women's Empowerment. ",Education,Research,,117,#79A5AE
Karnataka,15.3172775,75.7138884,15.1172775,75.6638884,2,Centre for Ideal Womanhood,http://ka.kswu.ac.in/womanhood,Academic/ Research Centre,2013,drsowbhagya@gmail.com,"PG Diploma in Ideal Womanhood (1 year), Certificate Course in Geriatric care, Certificate Course in Parenting. ",Capacity Building,Education,Research,118,#79A5AE
Karnataka,15.3172775,75.7138884,15.1172775,75.7138884,3,"Centre for Women's Studies, Kuvempu University",http://www.kuvempu.ac.in/eng/women_study_center.php,Academic/ Research Centre,2016,uccf@kuvempu.ac.in,"The Centre conducts seminars, workshops and Training on gender issues.",Gender Sensitisation,Research,Education,119,#79A5AE
Karnataka,15.3172775,75.7138884,15.1172775,75.7638884,4,"Centre For Women's Studies, Mangalore University",https://mangaloreuniversity.ac.in/center-women-study,Academic/ Research Centre,2005,,"The Centre's Primary engagement is organizing workshops, seminars and colloquiams on topics like Gender and Education, panchayati raj education, Violence against women and Role of Community in Prevention of violence against women.",Gender Sensitisation,Research,Education,120,#79A5AE
Karnataka,15.3172775,75.7138884,15.1172775,75.8138884,5,Department of Women's Studies,http://vskub.ac.in/department-of-womens-study/,Academic/ Research Centre,2019,,MA in Women's Studies ,Education,Research,,121,#79A5AE
Karnataka,15.3172775,75.7138884,15.1172775,75.8638884,6,"Centre for Women and Law, NLSIU",https://www.nls.ac.in/centres/centre-for-women-and-the-law/,Academic/ Research Centre,1988,contactus@nls.ac.in,The centre aims to look at the law and legal process from the perspective of gender justice.,Education,Research,,122,#79A5AE
